date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca
1985-10-01,final,5.653918,133.8449,0.03682869,0.32593649
1985-10-02,final,4.531624,136.0239,0.02889615,0.25980467
1985-10-03,final,3.704358,137.5244,0.02327617,0.21032823
1985-10-04,final,2.614042,138.3942,0.01603243,0.14918677
1985-10-05,final,2.178682,133.5730,0.01321372,0.12328180
1985-10-06,final,1.539083,128.1857,0.00913550,0.08742156
1985-10-07,final,1.707390,120.1277,0.01092211,0.10416123
1985-10-08,final,4.100268,128.0469,0.02757737,0.23440252
1985-10-09,final,8.665304,137.1626,0.05656136,0.45152691
1985-10-10,final,6.332228,134.8780,0.04005104,0.34586872
1985-10-11,final,5.617635,137.2087,0.03542482,0.30053016
1985-10-12,final,5.810947,138.4682,0.03626809,0.28950256
1985-10-13,final,6.166659,140.4322,0.03836472,0.31177684
1985-10-14,final,8.802145,143.7590,0.05595529,0.41884172
1985-10-15,final,8.225482,143.2770,0.05170446,0.38476834
1985-10-16,final,7.160532,143.9855,0.04376287,0.32911123
1985-10-17,final,6.024919,144.1244,0.03577486,0.27581090
1985-10-18,final,5.397937,141.0269,0.03177982,0.25041923
1985-10-19,final,4.718234,136.6895,0.02701553,0.21402472
1985-10-20,final,4.015428,132.6956,0.02226841,0.17798379
1985-10-21,final,3.414485,128.9782,0.01842667,0.14983145
1985-10-22,final,2.965762,126.6787,0.01578370,0.12990337
1985-10-23,final,3.735269,133.6340,0.02027823,0.17212469
1985-10-24,final,3.405400,131.6469,0.01816141,0.15426336
1985-10-25,final,2.918464,129.5838,0.01526822,0.13041619
1985-10-26,final,2.394633,126.4439,0.01225529,0.10616827
1985-10-27,final,2.031747,124.3270,0.01017811,0.09013004
1985-10-28,final,1.717895,119.3636,0.00851565,0.07753387
1985-10-29,final,1.514681,118.1976,0.00742432,0.06845553
1985-10-30,final,1.534117,119.7956,0.00776824,0.07122130
1985-10-31,final,1.535264,119.3721,0.00782188,0.07188191
1985-11-01,final,5.327758,146.5589,0.03227527,0.29677624
1985-11-02,final,5.262493,146.9657,0.03180190,0.29394561
1985-11-03,final,4.869889,145.1917,0.02928712,0.27002264
1985-11-04,final,4.122878,144.8974,0.02430905,0.22476106
1985-11-05,final,3.332880,144.2311,0.01919290,0.17798497
1985-11-06,final,4.091295,144.9651,0.02459632,0.21558901
1985-11-07,final,4.398304,140.1379,0.02677477,0.22950193
1985-11-08,final,4.735992,138.8569,0.02904892,0.24272979
1985-11-09,final,10.098127,148.0235,0.06779850,0.44204524
1985-11-10,final,16.315955,149.7026,0.10869448,0.56963540
1985-11-11,final,16.255226,147.5398,0.10477301,0.56185537
1985-11-12,final,17.474905,146.7057,0.10982111,0.56928271
1985-11-13,final,19.100041,153.2182,0.12267398,0.63011940
1985-11-14,final,21.733432,148.0250,0.14380133,0.78824447
1985-11-15,final,27.747859,145.4376,0.18942156,0.91574113
1985-11-16,final,26.683031,151.2577,0.17519481,0.88691012
1985-11-17,final,26.156497,152.3300,0.17011688,0.85401628
1985-11-18,final,29.836109,151.1771,0.19640437,0.85579334
1985-11-19,final,34.800922,147.2068,0.23644937,0.92646794
1985-11-20,final,34.273475,151.2125,0.22634562,0.89842561
1985-11-21,final,34.080892,151.8518,0.22530738,0.87426566
1985-11-22,final,36.247477,152.4310,0.23807615,0.87332850
1985-11-23,final,36.295608,154.2217,0.23431071,0.87232824
1985-11-24,final,38.240765,156.8701,0.24189074,0.86341730
1985-11-25,final,38.824129,161.8503,0.23696292,0.85229996
1985-11-26,final,42.172926,163.5891,0.25462984,0.81521267
1985-11-27,final,42.019075,167.7814,0.24577037,0.79414181
1985-11-28,final,37.168126,166.1056,0.21192888,0.71888998
1985-11-29,final,40.967181,162.9715,0.23887104,0.73652451
1985-11-30,final,49.771857,158.0504,0.30023478,0.78232825
1985-12-01,final,53.682602,158.0920,0.32319767,0.81894402
1985-12-02,final,54.324905,161.4192,0.32093280,0.81667705
1985-12-03,final,59.955030,162.8529,0.35299709,0.81416763
1985-12-04,final,61.122829,166.8604,0.34899316,0.79790200
1985-12-05,final,60.738685,169.4105,0.33785735,0.78248544
1985-12-06,final,60.289347,171.8336,0.32772473,0.76616485
1985-12-07,final,60.142764,174.4967,0.31922021,0.75836733
1985-12-08,final,60.543852,175.3058,0.31820703,0.75227413
1985-12-09,final,66.020345,166.5241,0.36564254,0.86468602
1985-12-10,final,70.403708,156.0559,0.41022872,0.94080035
1985-12-11,final,73.657280,151.9458,0.44494787,0.97840679
1985-12-12,final,73.518315,157.4093,0.43184340,0.97222830
1985-12-13,final,74.197139,160.2830,0.43278228,0.96836140
1985-12-14,final,73.657346,163.8405,0.42196786,0.95597091
1985-12-15,final,73.240778,166.1057,0.41288803,0.94363159
1985-12-16,final,73.048781,167.9658,0.40589504,0.93985126
1985-12-17,final,72.850267,169.8270,0.39902459,0.93330141
1985-12-18,final,72.388032,171.6821,0.39068457,0.92432905
1985-12-19,final,71.965494,173.2249,0.38197156,0.90906596
1985-12-20,final,71.585590,175.0210,0.37391723,0.89584930
1985-12-21,final,71.335928,177.9500,0.36621716,0.88486809
1985-12-22,final,70.953605,180.8234,0.35753546,0.86855288
1985-12-23,final,70.671403,183.1008,0.35063456,0.85818677
1985-12-24,final,70.587016,185.5887,0.34610989,0.85299492
1985-12-25,final,70.549896,187.1858,0.34205163,0.85188849
1985-12-26,final,70.117691,188.9373,0.33529845,0.83788583
1985-12-27,final,69.902891,190.7436,0.33010570,0.82968562
1985-12-28,final,69.776218,192.3950,0.32585484,0.82758759
1985-12-29,final,69.417022,194.2303,0.32028429,0.81664907
1985-12-30,final,69.171516,195.3241,0.31593116,0.80544539
1985-12-31,final,71.650789,193.7023,0.33196251,0.80327806
1986-01-01,final,70.190588,195.7341,0.32038897,0.79048515
1986-01-02,final,69.871664,196.4201,0.31650657,0.78667523
