date,stream,swe_mm_we,snow_density_kg_m3
2002-10-01,final,0.149310,104.9817
2002-10-02,final,1.586287,115.2134
2002-10-03,final,3.228301,122.0061
2002-10-04,final,5.019051,132.4647
2002-10-05,final,4.441588,130.5424
2002-10-06,final,3.454274,129.2829
2002-10-07,final,2.450102,127.5365
2002-10-08,final,1.535716,123.8372
2002-10-09,final,1.014185,121.1368
2002-10-10,final,0.696895,118.4929
2002-10-11,final,0.471634,113.9569
2002-10-12,final,0.335516,111.6885
2002-10-13,final,0.291144,111.5302
2002-10-14,final,0.254780,109.5525
2002-10-15,final,0.212252,108.5048
2002-10-16,final,0.184623,108.1702
2002-10-17,final,0.164688,107.8548
2002-10-18,final,0.138078,107.1169
2002-10-19,final,0.122233,106.7164
2002-10-20,final,0.103425,105.7504
2002-10-21,final,0.094926,105.6738
2002-10-22,final,0.092880,105.0492
2002-10-23,final,1.616127,130.9987
2002-10-24,final,3.246823,138.8605
2002-10-25,final,3.695735,140.1662
2002-10-26,final,3.423300,139.4562
2002-10-27,final,5.428036,138.4390
2002-10-28,final,5.906446,139.7695
2002-10-29,final,8.570809,142.5906
2002-10-30,final,12.592517,149.4336
2002-10-31,final,14.050308,149.2990
2002-11-01,final,15.642282,148.2670
2002-11-02,final,16.141790,151.9117
2002-11-03,final,18.210360,151.2831
2002-11-04,final,18.214967,152.8690
2002-11-05,final,18.210832,152.9972
2002-11-06,final,17.792982,154.0755
2002-11-07,final,16.876118,155.9800
2002-11-08,final,15.667816,157.8912
2002-11-09,final,20.561548,155.1699
2002-11-10,final,24.817164,154.4912
2002-11-11,final,26.101105,153.5455
2002-11-12,final,26.448315,155.0698
2002-11-13,final,26.182243,155.4599
2002-11-14,final,26.459948,157.2193
2002-11-15,final,27.688319,156.3050
2002-11-16,final,28.368667,155.5243
2002-11-17,final,28.057949,156.7451
2002-11-18,final,27.896647,158.3658
2002-11-19,final,27.650741,158.4135
2002-11-20,final,27.337470,157.7760
2002-11-21,final,26.784085,157.4174
2002-11-22,final,26.044335,159.7895
2002-11-23,final,25.198781,159.6383
2002-11-24,final,25.489131,164.2828
2002-11-25,final,28.595341,161.4348
2002-11-26,final,28.564878,162.8012
2002-11-27,final,28.463784,163.7314
2002-11-28,final,28.324510,164.2793
2002-11-29,final,28.000554,165.6001
2002-11-30,final,27.539138,166.9749
2002-12-01,final,27.548484,169.4893
2002-12-02,final,27.776977,168.9599
2002-12-03,final,27.557008,171.5031
2002-12-04,final,29.600890,169.3765
2002-12-05,final,29.737277,169.9587
2002-12-06,final,29.609786,170.8932
2002-12-07,final,29.382021,171.8197
2002-12-08,final,29.182189,172.8633
2002-12-09,final,29.024041,173.4006
2002-12-10,final,28.756860,174.2841
2002-12-11,final,28.494155,174.6465
2002-12-12,final,28.816578,172.7033
2002-12-13,final,29.335485,171.8169
2002-12-14,final,29.048919,172.6151
2002-12-15,final,28.721281,173.6624
2002-12-16,final,28.559441,173.6148
2002-12-17,final,30.603945,172.2382
2002-12-18,final,34.357026,165.9060
2002-12-19,final,35.708770,163.1539
2002-12-20,final,35.681550,164.4253
2002-12-21,final,36.287376,163.2797
2002-12-22,final,36.554918,163.4846
2002-12-23,final,36.873802,161.4922
2002-12-24,final,38.117642,160.0261
2002-12-25,final,38.617639,161.0874
2002-12-26,final,38.820209,161.8074
2002-12-27,final,38.780768,162.5266
2002-12-28,final,38.532833,163.7012
2002-12-29,final,38.132749,165.4260
2002-12-30,final,38.623258,165.2201
2002-12-31,final,38.450979,166.1120
2003-01-01,final,41.446653,164.2872
2003-01-02,final,42.108239,165.9023
2003-01-03,final,41.870212,167.2360
2003-01-04,final,41.331969,169.4476
2003-01-05,final,40.837272,171.3497
2003-01-06,final,43.163818,168.5710
2003-01-07,final,42.711793,170.7584
2003-01-08,final,42.177267,171.5351
2003-01-09,final,41.595687,172.5428
2003-01-10,final,41.632486,173.1850
2003-01-11,final,42.663703,172.6122
2003-01-12,final,44.259347,170.7677
2003-01-13,final,44.104480,172.3591
2003-01-14,final,43.665516,174.1357
2003-01-15,final,43.161458,175.8251
2003-01-16,final,44.031711,178.1934
2003-01-17,final,44.121384,176.0007
2003-01-18,final,43.933845,176.9271
2003-01-19,final,43.674727,177.7530
2003-01-20,final,43.223484,178.4708
2003-01-21,final,42.767397,178.0382
2003-01-22,final,42.431495,178.6432
2003-01-23,final,42.347047,178.5680
2003-01-24,final,42.260058,179.4542
2003-01-25,final,42.244727,178.7509
2003-01-26,final,42.104462,179.0547
2003-01-27,final,41.744900,177.9912
2003-01-28,final,41.146936,176.8854
2003-01-29,final,41.927154,183.9433
2003-01-30,final,41.708351,182.7910
2003-01-31,final,41.938632,183.8961
2003-02-01,final,41.137927,183.4478
2003-02-02,final,40.197132,182.4019
2003-02-03,final,46.182607,179.8310
2003-02-04,final,45.847216,178.7489
2003-02-05,final,46.514734,177.6529
2003-02-06,final,48.542109,167.4067
2003-02-07,final,49.382413,166.8163
2003-02-08,final,49.262349,170.6845
2003-02-09,final,49.429812,172.0764
2003-02-10,final,49.508673,174.0065
2003-02-11,final,49.378418,175.0455
2003-02-12,final,49.044454,176.4186
2003-02-13,final,48.676865,178.4072
2003-02-14,final,50.460051,177.9521
2003-02-15,final,51.273268,177.4623
2003-02-16,final,51.707232,178.3817
2003-02-17,final,52.927069,177.6895
2003-02-18,final,53.419920,176.5479
2003-02-19,final,56.613856,174.6989
2003-02-20,final,56.470155,176.3041
2003-02-21,final,56.181257,177.3798
2003-02-22,final,56.962368,176.2135
2003-02-23,final,59.491130,173.7906
2003-02-24,final,60.564751,168.3547
2003-02-25,final,63.116972,167.0555
2003-02-26,final,68.020829,167.4304
2003-02-27,final,70.955934,169.0988
2003-02-28,final,74.136594,168.2336
2003-03-01,final,76.004705,169.0687
2003-03-02,final,77.632913,168.9434
2003-03-03,final,77.262853,171.8249
2003-03-04,final,76.762154,174.0248
2003-03-05,final,82.542608,168.5773
2003-03-06,final,82.502942,171.2952
2003-03-07,final,82.112656,174.3822
2003-03-08,final,81.106381,178.7745
2003-03-09,final,79.613594,182.4339
2003-03-10,final,77.901995,185.0021
2003-03-11,final,76.081256,185.0767
2003-03-12,final,74.070366,187.0401
2003-03-13,final,71.724400,189.3447
2003-03-14,final,68.863059,189.8528
2003-03-15,final,66.360400,190.3635
2003-03-16,final,64.689962,191.8827
2003-03-17,final,66.667930,189.6032
2003-03-18,final,77.763052,189.3494
2003-03-19,final,93.155001,188.7178
2003-03-20,final,98.055140,192.5321
2003-03-21,final,98.210377,194.8435
2003-03-22,final,96.452184,198.6818
2003-03-23,final,93.777001,203.5816
2003-03-24,final,90.867110,202.9689
2003-03-25,final,91.542771,202.4185
2003-03-26,final,89.406445,204.2702
2003-03-27,final,90.087471,207.1020
2003-03-28,final,91.816397,202.2191
2003-03-29,final,92.129245,201.8461
2003-03-30,final,91.884031,202.1425
2003-03-31,final,90.356405,203.5984
2003-04-01,final,87.915520,203.6016
2003-04-02,final,84.907439,198.0274
2003-04-03,final,83.131972,200.0817
2003-04-04,final,84.534076,200.9236
2003-04-05,final,84.499407,202.0244
2003-04-06,final,86.882732,201.6991
2003-04-07,final,87.691607,201.2775
2003-04-08,final,88.668642,200.3518
2003-04-09,final,87.400285,201.0662
2003-04-10,final,85.347238,201.1201
2003-04-11,final,83.112241,196.0901
2003-04-12,final,80.706461,190.7629
2003-04-13,final,78.106014,189.7382
2003-04-14,final,75.194950,191.6094
2003-04-15,final,72.679756,194.5440
2003-04-16,final,74.205221,201.7340
2003-04-17,final,73.276462,199.6750
2003-04-18,final,72.950637,208.0077
2003-04-19,final,73.580762,203.1942
2003-04-20,final,75.890118,204.6108
2003-04-21,final,74.650716,203.2725
