date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
2007-10-01,final,1.217133,126.8709,0.00803292,0.08032922,0.809219,1.525113,0.00510385,0.01024440
2007-10-02,final,1.272848,127.1786,0.00849688,0.08479268,0.357003,1.964320,0.00228212,0.01318907
2007-10-03,final,0.929956,124.4682,0.00619394,0.06193935,0.205849,1.476664,0.00132313,0.00987144
2007-10-04,final,0.448839,116.9165,0.00304446,0.03044458,0.048676,0.750965,0.00035816,0.00507264
2007-10-05,final,0.206157,113.4509,0.00140490,0.01404897,0.009441,0.354680,0.00007385,0.00240985
2007-10-06,final,0.084701,105.7364,0.00059870,0.00598702,0.004172,0.145502,0.00003228,0.00102635
2007-10-07,final,0.884865,128.8099,0.00590112,0.05901124,0.586652,1.110019,0.00382819,0.00746621
2007-10-08,final,1.112752,127.4142,0.00741138,0.07411380,0.686507,1.434572,0.00452724,0.00958893
2007-10-09,final,0.717468,126.1551,0.00479046,0.04790457,0.426142,0.937421,0.00281578,0.00628136
2007-10-10,final,0.350977,123.0853,0.00236874,0.02368737,0.183450,0.477462,0.00123553,0.00322432
2007-10-11,final,0.126104,114.6017,0.00087888,0.00878880,0.034955,0.194922,0.00025718,0.00134827
2007-10-12,final,0.047174,109.3152,0.00033583,0.00335832,0.008579,0.076313,0.00006661,0.00053910
2007-10-13,final,0.015356,102.8122,0.00011758,0.00117578,0.000000,0.026950,0.00000000,0.00020635
2007-10-14,final,1.242668,120.7816,0.00899698,0.08855210,0.510881,1.795173,0.00353252,0.01312270
2007-10-15,final,3.941707,132.1193,0.02657577,0.24810145,1.163161,6.039536,0.00813347,0.04049989
2007-10-16,final,3.349042,131.4795,0.02219131,0.21257258,0.875840,5.216332,0.00605354,0.03437547
2007-10-17,final,2.992796,134.4700,0.01971493,0.19463184,0.642664,4.767167,0.00444539,0.03124358
2007-10-18,final,5.472753,143.5147,0.03608347,0.34585528,2.011241,8.086227,0.01320415,0.05335758
2007-10-19,final,5.545168,141.6752,0.03638503,0.34668408,2.005223,8.217861,0.01326593,0.05384018
2007-10-20,final,3.937119,140.9940,0.02539728,0.24894958,1.125813,6.059682,0.00748349,0.03892236
2007-10-21,final,6.780492,146.5550,0.04608323,0.43110650,3.894386,8.959530,0.02593377,0.06129627
2007-10-22,final,10.346594,150.3220,0.06880030,0.61273142,7.398892,12.572138,0.04824815,0.08431737
2007-10-23,final,10.033387,151.3894,0.06586028,0.59366199,7.097065,12.250339,0.04582318,0.08098849
2007-10-24,final,7.643317,153.4575,0.04900149,0.46526178,5.067611,9.588000,0.03223011,0.06166405
2007-10-25,final,5.125360,154.0780,0.03236787,0.31832560,3.189968,6.586600,0.02010685,0.04162507
2007-10-26,final,3.353196,153.1992,0.02092035,0.20915449,1.828914,4.504045,0.01145570,0.02806626
2007-10-27,final,2.165503,151.0556,0.01343497,0.13434965,1.006570,3.040509,0.00632882,0.01880017
2007-10-28,final,1.457244,147.0529,0.00902316,0.09023158,0.553460,2.139610,0.00352488,0.01317441
2007-10-29,final,1.000004,137.7990,0.00617399,0.06173989,0.280192,1.543468,0.00179151,0.00948280
2007-10-30,final,0.678164,129.1117,0.00420464,0.04204645,0.125538,1.095403,0.00084493,0.00674126
2007-10-31,final,0.830644,125.4823,0.00560828,0.05608276,0.139752,1.352274,0.00100484,0.00908392
2007-11-01,final,1.098138,124.1134,0.00734409,0.07344094,0.219783,1.761304,0.00158083,0.01169541
2007-11-02,final,0.944008,122.5603,0.00631686,0.06316864,0.156266,1.538761,0.00113243,0.01023116
2007-11-03,final,0.877825,122.6191,0.00585899,0.05858989,0.135667,1.438162,0.00099036,0.00953485
2007-11-04,final,0.793567,121.5130,0.00528582,0.05285820,0.097281,1.319270,0.00071723,0.00873515
2007-11-05,final,0.666330,118.4482,0.00446593,0.04465930,0.063188,1.121709,0.00049284,0.00746565
2007-11-06,final,0.581494,115.7241,0.00391177,0.03911770,0.039982,0.990342,0.00032609,0.00661899
2007-11-07,final,0.520967,114.6492,0.00350115,0.03501145,0.028397,0.892862,0.00024095,0.00596263
2007-11-08,final,0.458423,113.3352,0.00308549,0.03085492,0.022971,0.787194,0.00019541,0.00526753
2007-11-09,final,0.414205,111.7863,0.00280713,0.02807135,0.020931,0.711130,0.00017810,0.00479208
2007-11-10,final,0.356353,110.7464,0.00241570,0.02415701,0.010828,0.617228,0.00009149,0.00417051
2007-11-11,final,0.294648,108.5850,0.00203083,0.02030829,0.006764,0.512003,0.00005987,0.00351892
2007-11-12,final,0.339020,116.2995,0.00230435,0.02304346,0.056516,0.552314,0.00042296,0.00372481
2007-11-13,final,0.496792,115.9655,0.00337423,0.03374232,0.110332,0.788572,0.00081014,0.00531015
2007-11-14,final,0.797098,125.5264,0.00537010,0.05370103,0.195403,1.251383,0.00131753,0.00842983
2007-11-15,final,0.844432,116.5886,0.00573310,0.05733098,0.224145,1.312755,0.00156970,0.00887651
2007-11-16,final,0.781257,116.5296,0.00529274,0.05292741,0.197688,1.221856,0.00138151,0.00824576
2007-11-17,final,0.683046,116.6972,0.00461273,0.04612729,0.159961,1.077980,0.00111215,0.00725570
2007-11-18,final,0.765142,115.3389,0.00517490,0.05174902,0.187850,1.201003,0.00135796,0.00805673
2007-11-19,final,0.640745,114.1012,0.00434917,0.04349175,0.134465,1.022991,0.00099318,0.00688298
