date,frsno,snodp_m,snomas_kg_m2,depth_m,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
1983-10-01,0.00052895,0.01900052,0.013753,0.00007546,0.002499,0.021472,0.00000813,0.00012164
1983-10-02,0.00005548,0.01163310,0.001442,0.00000503,0.000000,0.002432,0.00000000,0.00000849
1983-10-03,0.00205467,0.05629709,0.053421,0.00029945,0.000067,0.090019,0.00000009,0.00050479
1983-10-04,0.00552877,0.06437650,0.143748,0.00089232,0.001675,0.241201,0.00000502,0.00150094
1983-10-05,0.00138750,0.04347143,0.036075,0.00020779,0.000463,0.060502,0.00000123,0.00034948
1983-10-06,0.00015892,0.02031867,0.004132,0.00001962,0.000000,0.006966,0.00000000,0.00003308
1983-10-07,0.00000685,0.00241617,0.000178,0.00000063,0.000000,0.000300,0.00000000,0.00000106
1983-10-08,0.00000080,0.00720874,0.000021,0.00000004,0.000000,0.000035,0.00000000,0.00000006
1983-10-09,0.00000017,0.00274703,0.000004,0.00000000,0.000000,0.000007,0.00000000,0.00000000
1983-10-10,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1983-10-11,0.00309334,0.05117621,0.080427,0.00043203,0.001290,0.134709,0.00000391,0.00072569
1983-10-12,0.00651007,0.03465449,0.169262,0.00097041,0.004950,0.281968,0.00001650,0.00162472
1983-10-13,0.00283705,0.03959464,0.073763,0.00041997,0.001939,0.123030,0.00000512,0.00070453
1983-10-14,0.01544642,0.07325396,0.401607,0.00223149,0.046272,0.645342,0.00012014,0.00367973
1983-10-15,0.03015950,0.07825287,0.784147,0.00490954,0.081865,1.265864,0.00039514,0.00800610
1983-10-16,0.02026640,0.08414401,0.526927,0.00330342,0.046534,0.856442,0.00020208,0.00543072
1983-10-17,0.00896663,0.07339323,0.233132,0.00145761,0.018555,0.380317,0.00007524,0.00240581
1983-10-18,0.00385109,0.06869551,0.100128,0.00062211,0.006057,0.164655,0.00002209,0.00103368
1983-10-19,0.00217145,0.05244669,0.056458,0.00034378,0.005709,0.091268,0.00002441,0.00056285
1983-10-20,0.00151710,0.05373156,0.039445,0.00023720,0.004125,0.063671,0.00001807,0.00038751
1983-10-21,0.00066054,0.03488477,0.017174,0.00010298,0.001165,0.028155,0.00000431,0.00017066
