date,frsno,snodp_m,snomas_kg_m2
1986-10-01,0.00253445,0.06915219,0.065896
1986-10-02,0.00060924,0.04815311,0.015840
1986-10-03,0.01249375,0.06841791,0.324838
1986-10-04,0.02814766,0.08513627,0.731839
1986-10-05,0.00635057,0.07244237,0.165115
1986-10-06,0.00134900,0.06098816,0.035074
1986-10-07,0.00031473,0.03048037,0.008183
1986-10-08,0.00005429,0.00964622,0.001411
1986-10-09,0.00016544,0.01506972,0.004302
1986-10-10,0.00100632,0.01716674,0.026164
1986-10-11,0.09435090,0.13770354,2.453123
1986-10-12,0.24272939,0.17251910,6.336513
1986-10-13,0.22506071,0.17339402,5.891584
1986-10-14,0.11945503,0.17308167,3.109535
1986-10-15,0.03512468,0.17212651,0.913242
1986-10-16,0.00854150,0.14975096,0.222079
1986-10-17,0.00201932,0.08694273,0.052502
1986-10-18,0.00046692,0.04438311,0.012140
1986-10-19,0.00101170,0.02568338,0.026304
1986-10-20,0.01538408,0.06589639,0.399986
1986-10-21,0.02143372,0.10507201,0.557277
1986-10-22,0.06049040,0.11131557,1.572750
1986-10-23,0.05022852,0.09685748,1.305942
1986-10-24,0.02539230,0.10132812,0.660200
1986-10-25,0.00972876,0.08978421,0.252948
1986-10-26,0.00411951,0.06536095,0.107107
1986-10-27,0.00157059,0.04281585,0.040835
1986-10-28,0.00088368,0.03012489,0.022976
1986-10-29,0.00035270,0.02335042,0.009170
1986-10-30,0.00011723,0.01772279,0.003048
1986-10-31,0.06627434,0.09200625,1.723133
1986-11-01,0.33844176,0.16655868,8.816215
1986-11-02,0.41757263,0.17326346,11.223833
1986-11-03,0.26498810,0.17099965,7.015808
1986-11-04,0.19288542,0.17053516,5.125864
1986-11-05,0.12178997,0.16799140,3.211275
1986-11-06,0.06954880,0.16820053,1.808269
1986-11-07,0.18312552,0.17216635,4.761281
1986-11-08,0.26886155,0.17209070,6.990499
1986-11-09,0.28153108,0.17082701,7.319812
1986-11-10,0.27295146,0.17029702,7.096738
1986-11-11,0.25705034,0.17003648,6.683309
1986-11-12,0.22337236,0.17113865,5.807681
1986-11-13,0.20294319,0.16986907,5.276523
1986-11-14,0.15771465,0.16953789,4.100581
1986-11-15,0.11458549,0.16774318,2.979223
1986-11-16,0.09444937,0.15781580,2.455684
1986-11-17,0.08771573,0.14755632,2.280609
1986-11-18,0.08250124,0.13519853,2.145032
1986-11-19,0.13206657,0.13655697,3.494808
1986-11-20,0.12803096,0.12427122,3.434632
1986-11-21,0.08972156,0.11875962,2.427956
1986-11-22,0.10363291,0.14812279,2.794969
1986-11-23,0.14934661,0.16354339,3.994192
1986-11-24,0.13649232,0.15497685,3.656200
1986-11-25,0.09708116,0.15586377,2.629551
1986-11-26,0.14185279,0.16358782,3.804283
1986-11-27,0.13062947,0.15228215,3.509536
1986-11-28,0.09566515,0.15491939,2.587383
1986-11-29,0.06763153,0.15378004,1.836748
1986-11-30,0.12339523,0.16609831,3.321737
1986-12-01,0.19172184,0.17260433,5.125494
1986-12-02,0.16220573,0.17254242,4.350761
1986-12-03,0.12988195,0.17248131,3.502449
1986-12-04,0.10538505,0.17238726,2.857668
1986-12-05,0.08760688,0.17211655,2.388205
1986-12-06,0.14164487,0.17231013,3.832115
1986-12-07,0.27407544,0.17309443,7.353882
1986-12-08,0.29616308,0.17323590,7.954253
1986-12-09,0.34469122,0.17340744,9.246020
1986-12-10,0.37602668,0.17347176,10.074163
1986-12-11,0.36187151,0.17342100,9.701707
1986-12-12,0.32878653,0.17336401,8.836906
1986-12-13,0.27882376,0.17331508,7.534425
1986-12-14,0.24900510,0.17325640,6.753366
1986-12-15,0.22036649,0.17319049,6.001713
1986-12-16,0.19621001,0.17313924,5.369268
1986-12-17,0.16981384,0.17307607,4.676341
1986-12-18,0.16260090,0.17302015,4.483402
1986-12-19,0.15819367,0.17300308,4.368855
1986-12-20,0.15332162,0.17296086,4.238004
1986-12-21,0.14594535,0.17291095,4.040721
1986-12-22,0.13803862,0.17286481,3.829929
1986-12-23,0.12805476,0.17256858,3.568826
1986-12-24,0.12325420,0.17129941,3.439790
1986-12-25,0.11998798,0.16939875,3.347832
1986-12-26,0.11559564,0.16811728,3.227639
1986-12-27,0.11178109,0.16760136,3.122235
1986-12-28,0.11335511,0.16652558,3.159191
1986-12-29,0.10801216,0.16285606,3.013402
1986-12-30,0.10170904,0.16051137,2.842740
1986-12-31,0.10064904,0.15957868,2.811291
1987-01-01,0.10038727,0.15992664,2.800221
1987-01-02,0.14789700,0.16419155,4.072790
1987-01-03,0.19522654,0.15985264,5.331900
1987-01-04,0.18643747,0.15929790,5.102643
1987-01-05,0.18303626,0.15932662,5.033702
1987-01-06,0.23920048,0.16385865,6.539116
1987-01-07,0.27695792,0.17328986,7.535635
1987-01-08,0.35248579,0.17333794,9.510745
1987-01-09,0.36959824,0.17334767,9.963517
1987-01-10,0.35374767,0.17325620,9.542609
1987-01-11,0.31887600,0.17316889,8.627183
1987-01-12,0.23737308,0.17305722,6.500809
1987-01-13,0.16581555,0.17297470,4.634049
1987-01-14,0.13994898,0.17293034,3.955612
1987-01-15,0.19677713,0.17291362,5.431958
1987-01-16,0.37150054,0.17297641,9.983998
1987-01-17,0.42189287,0.17295914,11.291982
1987-01-18,0.41847804,0.17293069,11.199321
1987-01-19,0.44526994,0.17302286,11.910809
