date,frsno,snodp_m,snomas_kg_m2,depth_m
2019-10-01,0.00000000,0.00014264,0.000000,0.00000000
2019-10-02,0.00000073,0.00603773,0.000019,0.00000002
2019-10-03,0.00005542,0.00187174,0.001441,0.00000243
2019-10-04,0.00002772,0.00280875,0.000721,0.00000205
2019-10-05,0.00058976,0.01113981,0.015334,0.00006637
2019-10-06,0.00035333,0.00986988,0.009187,0.00004720
2019-10-07,0.00009025,0.00999486,0.002347,0.00001086
2019-10-08,0.00000964,0.00174814,0.000251,0.00000062
2019-10-09,0.00000013,0.00024549,0.000003,0.00000000
2019-10-10,0.03666567,0.11118177,0.953307,0.00583853
2019-10-11,0.06102313,0.12109521,1.586601,0.01046808
2019-10-12,0.03316073,0.12114606,0.862179,0.00570110
2019-10-13,0.01313261,0.11198671,0.341448,0.00225824
2019-10-14,0.00346765,0.07890213,0.090159,0.00057461
2019-10-15,0.00077578,0.03524278,0.020170,0.00011299
2019-10-16,0.00019396,0.02124294,0.005043,0.00002348
2019-10-17,0.00001831,0.00373014,0.000476,0.00000103
2019-10-18,0.00259767,0.04217169,0.067539,0.00024475
2019-10-19,0.00469235,0.05193456,0.122001,0.00075497
2019-10-20,0.05086416,0.11238319,1.322468,0.00858976
2019-10-21,0.11529592,0.12154119,2.997694,0.01980461
2019-10-22,0.12093533,0.11450703,3.144935,0.02072592
2019-10-23,0.08637202,0.11096406,2.245673,0.01482875
2019-10-24,0.15121281,0.14920440,3.931533,0.02593965
2019-10-25,0.12414061,0.14286301,3.227656,0.02142667
2019-10-26,0.04436396,0.13707109,1.153463,0.00765614
2019-10-27,0.02637124,0.14048994,0.685652,0.00451818
2019-10-28,0.14174657,0.16850758,3.685411,0.02432038
2019-10-29,0.23613392,0.17313079,6.139482,0.04090872
2019-10-30,0.34231119,0.17299422,8.900091,0.05929172
2019-10-31,0.32287456,0.17256275,8.394738,0.05589383
2019-11-01,0.23048654,0.17265635,5.992650,0.03991311
2019-11-02,0.17661278,0.17254288,4.591932,0.03058782
2019-11-03,0.11095896,0.17089918,2.884933,0.01921283
2019-11-04,0.07315968,0.16195793,1.902152,0.01265712
2019-11-05,0.04975498,0.14664310,1.293629,0.00859964
2019-11-06,0.02939918,0.12687328,0.764379,0.00502507
2019-11-07,0.01540936,0.11874463,0.400643,0.00253679
2019-11-08,0.00908224,0.08683592,0.236138,0.00142933
2019-11-09,0.00496804,0.06167094,0.129169,0.00076310
2019-11-10,0.00208889,0.04241133,0.054311,0.00031384
2019-11-11,0.00977313,0.08505395,0.254101,0.00163249
2019-11-12,0.01176778,0.05702319,0.305962,0.00199180
2019-11-13,0.00656096,0.06498176,0.170585,0.00110175
2019-11-14,0.00446386,0.07598467,0.116060,0.00075446
2019-11-15,0.00259840,0.05701642,0.067558,0.00043271
2019-11-16,0.00145212,0.05493893,0.037755,0.00023853
2019-11-17,0.00317700,0.06695804,0.082602,0.00051750
2019-11-18,0.00236134,0.04800484,0.061395,0.00035728
2019-11-19,0.00131201,0.03529374,0.034112,0.00019333
2019-11-20,0.01310329,0.09316179,0.340685,0.00189019
2019-11-21,0.09137944,0.16717455,2.375865,0.01567163
2019-11-22,0.21088215,0.17307059,5.482936,0.03653899
2019-11-23,0.21919983,0.17209613,5.699195,0.03795552
2019-11-24,0.15332594,0.17209602,3.986474,0.02655520
2019-11-25,0.11972302,0.17266358,3.112799,0.02074140
2019-11-26,0.30143885,0.17331194,7.837410,0.05223786
2019-11-27,0.40511627,0.17331189,10.533023,0.07020564
2019-11-28,0.42526897,0.17332873,11.060546,0.07371158
2019-11-29,0.39759823,0.17455990,10.544081,0.06992719
2019-11-30,0.48991010,0.18031433,13.877382,0.09127032
2019-12-01,0.51208305,0.18145338,14.709118,0.09623967
