water_year,swe_in,swe_rank,depth_in,depth_rank
1981,2.516097,4,12.343695,13
1982,5.801288,38,21.245995,35
1983,5.422258,33,22.918597,40
1984,7.638401,45,29.392904,44
1985,7.267300,42,29.908591,46
1986,3.370992,12,10.454498,9
1987,4.422367,21,21.081819,34
1988,3.475334,14,15.223819,17
1989,3.474103,13,11.174178,12
1990,2.170544,3,8.749543,5
1991,4.076390,15,17.487039,24
1992,4.168617,17,15.712531,19
1993,6.222190,40,21.637125,38
1994,4.137216,16,15.501645,18
1995,5.156868,32,19.638874,31
1996,4.603856,24,16.213136,20
1997,5.447907,34,16.379656,21
1998,4.948924,28,19.838775,33
1999,2.830726,7,9.344805,6
2000,4.423801,22,18.738524,28
2001,4.270799,19,14.882232,15
2002,2.846417,8,10.328148,8
2003,4.763366,26,18.426610,27
2004,2.912317,10,8.572483,4
2005,6.314605,41,24.633442,41
2006,4.425207,23,17.025306,23
2007,2.894788,9,10.750023,10
2008,7.512790,44,25.223388,43
2009,5.120086,30,21.700421,39
2010,5.844468,39,21.439017,37
2011,5.522177,36,19.432940,30
2012,2.098504,2,6.148992,2
2013,3.092835,11,11.153241,11
2014,5.461978,35,19.144714,29
2015,2.672103,6,7.906038,3
2016,5.149800,31,19.750981,32
2017,4.933350,27,15.090033,16
2018,2.634794,5,10.262061,7
2019,7.453030,43,24.885568,42
2020,4.954282,29,17.608889,26
2021,4.344230,20,17.588465,25
2022,4.644906,25,16.800748,22
2023,7.936958,46,29.852969,45
2024,5.647751,37,21.266894,36
2025,4.257532,18,13.774236,14
2026,1.888048,1,5.324656,1
