water_year,elevation_band,swe_in,rank
1981,"6,500–8,000 ft",0.900319,9
1982,"6,500–8,000 ft",3.117469,37
1983,"6,500–8,000 ft",3.672290,40
1984,"6,500–8,000 ft",5.292954,45
1985,"6,500–8,000 ft",3.909711,42
1986,"6,500–8,000 ft",1.221604,12
1987,"6,500–8,000 ft",2.553677,33
1988,"6,500–8,000 ft",2.151273,27
1989,"6,500–8,000 ft",1.323775,14
1990,"6,500–8,000 ft",0.811641,8
1991,"6,500–8,000 ft",2.673015,34
1992,"6,500–8,000 ft",1.958178,22
1993,"6,500–8,000 ft",3.573787,38
1994,"6,500–8,000 ft",1.296435,13
1995,"6,500–8,000 ft",2.285065,29
1996,"6,500–8,000 ft",1.664071,17
1997,"6,500–8,000 ft",2.311719,30
1998,"6,500–8,000 ft",2.851852,35
1999,"6,500–8,000 ft",0.765355,6
2000,"6,500–8,000 ft",2.085667,26
2001,"6,500–8,000 ft",1.791487,18
2002,"6,500–8,000 ft",1.415228,15
2003,"6,500–8,000 ft",1.985095,23
2004,"6,500–8,000 ft",0.730921,5
2005,"6,500–8,000 ft",3.662331,39
2006,"6,500–8,000 ft",1.871007,19
2007,"6,500–8,000 ft",0.728575,4
2008,"6,500–8,000 ft",4.968815,44
2009,"6,500–8,000 ft",2.520731,31
2010,"6,500–8,000 ft",3.857936,41
2011,"6,500–8,000 ft",3.044037,36
2012,"6,500–8,000 ft",0.486916,3
2013,"6,500–8,000 ft",1.177482,11
2014,"6,500–8,000 ft",2.040746,25
2015,"6,500–8,000 ft",0.482717,2
2016,"6,500–8,000 ft",2.263520,28
2017,"6,500–8,000 ft",1.464295,16
2018,"6,500–8,000 ft",0.790497,7
2019,"6,500–8,000 ft",4.627028,43
2020,"6,500–8,000 ft",1.954519,21
2021,"6,500–8,000 ft",1.880950,20
2022,"6,500–8,000 ft",2.039831,24
2023,"6,500–8,000 ft",6.626243,46
2024,"6,500–8,000 ft",2.537822,32
2025,"6,500–8,000 ft",1.107625,10
2026,"6,500–8,000 ft",0.116312,1
1981,"8,000–14,500 ft",3.736025,4
1982,"8,000–14,500 ft",7.827597,37
1983,"8,000–14,500 ft",6.743501,26
1984,"8,000–14,500 ft",9.409237,43
1985,"8,000–14,500 ft",9.802311,46
1986,"8,000–14,500 ft",4.993800,13
1987,"8,000–14,500 ft",5.833245,16
1988,"8,000–14,500 ft",4.475013,9
1989,"8,000–14,500 ft",5.097621,14
1990,"8,000–14,500 ft",3.196528,1
1991,"8,000–14,500 ft",5.135953,15
1992,"8,000–14,500 ft",5.837520,17
1993,"8,000–14,500 ft",8.221759,40
1994,"8,000–14,500 ft",6.282034,21
1995,"8,000–14,500 ft",7.325108,31
1996,"8,000–14,500 ft",6.823421,27
1997,"8,000–14,500 ft",7.815760,36
1998,"8,000–14,500 ft",6.532233,23
1999,"8,000–14,500 ft",4.390101,8
2000,"8,000–14,500 ft",6.189115,19
2001,"8,000–14,500 ft",6.142702,18
2002,"8,000–14,500 ft",3.926979,5
2003,"8,000–14,500 ft",6.860987,28
2004,"8,000–14,500 ft",4.559291,12
2005,"8,000–14,500 ft",8.317097,41
2006,"8,000–14,500 ft",6.353652,22
2007,"8,000–14,500 ft",4.530300,10
2008,"8,000–14,500 ft",9.433517,44
2009,"8,000–14,500 ft",7.082624,29
2010,"8,000–14,500 ft",7.344318,33
2011,"8,000–14,500 ft",7.393197,34
2012,"8,000–14,500 ft",3.315268,3
2013,"8,000–14,500 ft",4.538945,11
2014,"8,000–14,500 ft",8.045041,39
2015,"8,000–14,500 ft",4.325111,7
2016,"8,000–14,500 ft",7.328970,32
2017,"8,000–14,500 ft",7.552520,35
2018,"8,000–14,500 ft",4.027256,6
2019,"8,000–14,500 ft",9.586689,45
2020,"8,000–14,500 ft",7.219132,30
2021,"8,000–14,500 ft",6.204030,20
2022,"8,000–14,500 ft",6.611764,24
2023,"8,000–14,500 ft",8.926561,42
2024,"8,000–14,500 ft",7.995777,38
2025,"8,000–14,500 ft",6.635743,25
2026,"8,000–14,500 ft",3.225726,2
