date,frsno,snodp_m,snomas_kg_m2,depth_m,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
1995-10-01,0.00571493,0.07380703,0.148588,0.00093820,0.036508,0.225467,0.00021632,0.00143336
1995-10-02,0.00102899,0.06027720,0.026754,0.00016133,0.006175,0.040869,0.00003152,0.00025037
1995-10-03,0.00027150,0.03396866,0.007059,0.00003693,0.000998,0.011216,0.00000317,0.00006009
1995-10-04,0.03628946,0.06998657,0.943526,0.00454504,0.230549,1.432579,0.00090063,0.00704485
1995-10-05,0.09924560,0.12611686,2.580386,0.01684811,0.663291,3.895379,0.00419763,0.02552546
1995-10-06,0.06916304,0.08385398,1.798239,0.01161151,0.340361,2.798242,0.00205786,0.01816464
1995-10-07,0.01959209,0.07107543,0.509394,0.00323153,0.090138,0.796975,0.00050921,0.00509885
1995-10-08,0.00640594,0.06067311,0.166554,0.00103531,0.029111,0.260831,0.00014111,0.00164868
1995-10-09,0.00247857,0.05401329,0.064443,0.00039339,0.009914,0.101846,0.00004571,0.00063188
1995-10-10,0.00055617,0.03821272,0.014461,0.00008136,0.001759,0.023173,0.00000653,0.00013268
1995-10-11,0.00005205,0.01037288,0.001353,0.00000451,0.000075,0.002230,0.00000006,0.00000756
1995-10-12,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1995-10-13,0.00019199,0.01097178,0.004992,0.00002497,0.000000,0.008416,0.00000000,0.00004209
1995-10-14,0.00066438,0.02390596,0.017274,0.00006569,0.005622,0.025267,0.00001688,0.00009917
1995-10-15,0.00042097,0.01832566,0.010945,0.00005117,0.002979,0.016409,0.00001205,0.00007800
1995-10-16,0.00009690,0.01166776,0.002519,0.00001170,0.000679,0.003781,0.00000235,0.00001812
1995-10-17,0.00000654,0.00185483,0.000170,0.00000057,0.000000,0.000287,0.00000000,0.00000096
1995-10-18,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1995-10-19,0.00000002,0.00123609,0.000000,0.00000000,0.000000,0.000001,0.00000000,0.00000000
1995-10-20,0.00000005,0.00044920,0.000001,0.00000000,0.000000,0.000002,0.00000000,0.00000000
1995-10-21,0.00000336,0.00544968,0.000087,0.00000007,0.000001,0.000146,0.00000000,0.00000012
1995-10-22,0.06486236,0.09066836,1.686421,0.00748939,1.991894,1.476889,0.00922862,0.00629640
1995-10-23,0.17615970,0.15379989,4.580152,0.03042425,4.476054,4.651557,0.02972110,0.03090656
1995-10-24,0.13282053,0.15262616,3.453334,0.02296493,2.902772,3.830981,0.01930268,0.02547699
1995-10-25,0.08009019,0.14137084,2.082345,0.01385305,1.434436,2.526765,0.00954830,0.01680581
1995-10-26,0.04522659,0.13800915,1.175891,0.00780649,0.635901,1.546287,0.00423292,0.01025771
1995-10-27,0.02242771,0.12015438,0.583120,0.00372642,0.191594,0.851680,0.00125553,0.00542128
1995-10-28,0.01669541,0.09812099,0.434081,0.00272417,0.101976,0.661881,0.00062058,0.00416709
1995-10-29,0.00953768,0.07861174,0.247980,0.00154565,0.047792,0.385295,0.00027054,0.00242028
1995-10-30,0.00383639,0.06361070,0.099746,0.00062148,0.016670,0.156730,0.00008898,0.00098674
