month,month_number,slot,cell_id,merra_latitude,merra_longitude,cell_mean_elevation_m,n_water_years,degrees_of_freedom,mean_bias_pp,t_statistic,one_sided_p_value_negative,benjamini_hochberg_q_value,raw_p_lt_0_05,bh_q_lt_0_05,water_years,alternative
November,11,0,MERRA2_i254_j114,37.0,-108.75,1683.9430638942265,14,13,1.581987446991907,4.750936671083161,0.9998106033572096,0.9998106033572096,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,1,MERRA2_i254_j115,37.0,-108.125,1943.8017920771688,14,13,1.4394479140489918,3.082435347399189,0.9956313893764013,0.9998106033572096,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,2,MERRA2_i254_j116,37.0,-107.5,2055.221174798817,14,13,2.363246757188631,3.366173003183965,0.9974695644220839,0.9998106033572096,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,3,MERRA2_i254_j117,37.0,-106.875,2446.972072853058,14,13,-7.609657650856737,-4.21805661962125,0.0005025895793427037,0.0012029771525996946,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,4,MERRA2_i254_j118,37.0,-106.25,2832.8863690295047,14,13,-21.1224192027033,-6.413966624255067,1.1462377733736139e-05,4.854654098994129e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,5,MERRA2_i254_j119,37.0,-105.625,2523.8219254802293,14,13,-6.226475071864589,-4.171369562291698,0.0005482878546493924,0.0012029771525996946,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,6,MERRA2_i254_j120,37.0,-105.0,2658.6252219488133,14,13,-11.560136083884206,-5.3843316540182276,6.22191025858653e-05,0.0001866573077575959,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,7,MERRA2_i254_j121,37.0,-104.375,2096.9248310645203,14,13,-3.52773332047429,-1.762278179755737,0.05075114892488943,0.06766819856651923,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,8,MERRA2_i255_j114,37.5,-108.75,2020.9130825493096,14,13,-1.0071349885481113,-1.3127175597852379,0.10599044150044915,0.13157434117297134,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,9,MERRA2_i255_j115,37.5,-108.125,2698.1766625195414,14,13,-13.082282571154375,-4.964524089161016,0.0001293455933923466,0.0003581877970864983,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,10,MERRA2_i255_j116,37.5,-107.5,2987.0102242346966,14,13,-16.06783877985432,-6.681332737008838,7.566699780039365e-06,3.4050149010177143e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
