scope,period,water_year,group_type,group,cell_id,merra_latitude,merra_longitude,merra_latitude_index,merra_longitude_index,bias_pp,mae_pp,sum_weight,sum_weighted_error,sum_weighted_absolute_error,n_cell_days,n_days,n_calendar_days,n_missing_reference_days,paired_modscag_pixel_days,expected_modscag_pixel_days,direct_observation_pixel_days,support_fraction,direct_observation_fraction,domain,error_sign,merra_product,modscag_product,aggregation
water_year,WY2010,2010,month,Oct,MERRA2_i254_j114,37.0,-108.75,254,114,1.4014974983751507,1.4014974983751507,445532.0,6244.1198344607765,6244.1198344607765,31,31,31,0,445532,445532,431160,1.0,0.967741935483871,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
water_year,WY2010,2010,month,Oct,MERRA2_i254_j115,37.0,-108.125,254,115,1.5393306921370464,1.5492191381206215,445687.0,6860.596781864838,6904.668300115654,31,31,31,0,445687,445687,430946,1.0,0.9669252188194855,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
water_year,WY2010,2010,month,Oct,MERRA2_i254_j116,37.0,-107.5,254,116,1.5559104360571574,1.6370435975593625,445532.0,6932.078883974175,7293.553081078179,31,31,31,0,445532,445656,427605,0.9997217584863661,0.9597627106470467,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
water_year,WY2010,2010,month,Oct,MERRA2_i254_j117,37.0,-106.875,254,117,-3.6922049421042042,5.440988911023279,445687.0,-16455.677440315965,24249.780247872324,31,31,31,0,445687,445687,363923,1.0,0.8165438973988471,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
water_year,WY2010,2010,month,Oct,MERRA2_i254_j118,37.0,-106.25,254,118,-13.755813964871729,13.755813964871729,445521.0,-61285.03993443617,61285.03993443617,31,31,31,0,445521,445532,338071,0.9999753104154134,0.7588216941513419,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
water_year,WY2010,2010,month,Oct,MERRA2_i254_j119,37.0,-105.625,254,119,3.3435060206101253,5.430535248914552,445603.0,14898.763133019338,24198.62798522071,31,31,31,0,445603,445625,409171,0.9999506311360449,0.918241124947543,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
water_year,WY2010,2010,month,Oct,MERRA2_i254_j120,37.0,-105.0,254,120,-1.3258116865381264,6.550149413701859,445338.0,-5904.343248595161,29170.30439599158,31,31,31,0,445338,445718,376402,0.9991474430020776,0.8452052149154126,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
water_year,WY2010,2010,month,Oct,MERRA2_i254_j121,37.0,-104.375,254,121,0.6644229970300359,4.38593292619515,445534.0,2960.2303555878,19540.8224033943,31,31,31,0,445534,445656,397383,0.9997262462527151,0.8919251953835173,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
water_year,WY2010,2010,month,Oct,MERRA2_i255_j114,37.5,-108.75,255,114,1.7610334100208365,2.0414482424814,442649.0,7795.196779123133,9036.450230861494,31,31,31,0,442649,442649,414611,1.0,0.9366586166465981,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
water_year,WY2010,2010,month,Oct,MERRA2_i255_j115,37.5,-108.125,255,115,-3.9646201131871974,3.9646201131871974,442707.0,-17551.650764487647,17551.650764487647,31,31,31,0,442707,442742,323948,0.9999209471882045,0.7317435685453358,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
