group_type,group,water_year,bias_pp,mae_pp,n_cell_days,n_days,n_calendar_days,n_missing_reference_days,paired_modscag_pixel_days,support_fraction,direct_observation_fraction,domain,error_sign,merra_product,modscag_product,aggregation
month,Oct,2023,-3.975325643897213,4.315933067829851,920,13,31,18,12660362,0.984143231810642,0.8092177775011489,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
month,Nov,2023,-16.97322816851546,18.147038568796372,2160,30,30,0,30076712,0.9956640842116693,0.8324242689825936,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
month,Dec,2023,-7.951717084502897,15.473383687683219,2218,31,31,0,30748620,0.9913347010604856,0.7625773449345044,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
month,Jan,2023,-6.3558582435554625,18.965414874777405,2232,31,31,0,30869671,0.988949342412158,0.7668593876494505,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
month,Feb,2023,-16.652971529502757,23.707561245196338,2001,28,28,0,27829742,0.9945390259945536,0.9287873024478631,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
month,Mar,2023,-11.923145255099278,17.355195647227973,2232,31,31,0,31126981,0.9971925969416953,0.9031208969478922,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
month,Apr,2023,-17.91235727573198,20.891102391751478,2160,30,30,0,30139271,0.9977350469367238,0.8449614789952948,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
month,May,2023,-11.951587264375105,12.089031122758598,2199,31,31,0,30466731,0.9904083595663672,0.7105817161677109,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
month,Jun,2023,-3.352293566087619,3.367240710412804,2154,30,30,0,30014362,0.9963017052241243,0.7463021536156591,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
month,Jul,2023,-0.22669669578972634,0.22669669578972634,2015,31,31,0,28209948,0.9984379602211108,0.8757412101574948,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
