date,domain_fsca,cells_supported,mean_support,deficient_cells
2022-10-01,0.036812,72,0.9978,j260_i121
2022-10-02,0.035386,72,0.9976,j260_i121
2022-10-03,0.023787,72,0.9975,j260_i121
2022-10-04,0.016185,72,0.9973,j260_i121
2022-10-05,0.010813,72,0.9971,j260_i121
2022-10-06,0.008876,72,0.9967,j260_i121
2022-10-07,0.008489,72,0.9938,j260_i121
2022-10-08,0.008713,72,0.9862,j260_i121
2022-10-09,0.009682,70,0.9376,j260_i121
2022-10-10,,0,0.0000,j260_i121
2022-10-11,,0,0.0000,j260_i121
2022-10-12,,0,0.0000,j260_i121
2022-10-13,,0,0.0000,j260_i121
2022-10-14,,0,0.0000,j260_i121
2022-10-15,,0,0.0000,j260_i121
2022-10-16,,0,0.0000,j260_i121
2022-10-17,,0,0.0000,j260_i121
2022-10-18,,0,0.0000,j260_i121
2022-10-19,,0,0.0000,j260_i121
2022-10-20,,0,0.0000,j260_i121
2022-10-21,,0,0.0000,j260_i121
2022-10-22,,0,0.0000,j260_i121
2022-10-23,,0,0.0000,j260_i121
2022-10-24,,0,0.0000,j260_i121
2022-10-25,,0,0.0000,j260_i121
2022-10-26,,0,0.0000,j260_i121
2022-10-27,,0,0.0000,j260_i121
2022-10-28,0.221488,60,0.8852,j260_i121
2022-10-29,0.175914,70,0.9670,j260_i121
2022-10-30,0.160756,72,0.9826,j260_i121
2022-10-31,0.142411,72,0.9924,j260_i121
2022-11-01,0.158119,72,0.9966,j260_i121
2022-11-02,0.216425,72,0.9973,j260_i121
2022-11-03,0.293012,72,0.9972,j260_i121
2022-11-04,,0,,j260_i121
2022-11-05,0.285425,72,0.9973,j260_i121
2022-11-06,0.246499,72,0.9973,j260_i121
2022-11-07,0.211860,72,0.9973,j260_i121
2022-11-08,0.205290,72,0.9972,j260_i121
2022-11-09,0.231491,72,0.9971,j260_i121
2022-11-10,0.263667,72,0.9968,j260_i121
2022-11-11,0.274484,72,0.9969,j260_i121
2022-11-12,0.273177,72,0.9968,j260_i121
2022-11-13,0.272717,72,0.9965,j260_i121
2022-11-14,0.290171,72,0.9942,j260_i121
2022-11-15,0.299682,72,0.9939,j260_i121
2022-11-16,0.301121,72,0.9939,j260_i121
2022-11-17,0.307601,72,0.9939,j260_i121
2022-11-18,0.307336,72,0.9939,j260_i121
2022-11-19,0.291653,72,0.9940,j260_i121
2022-11-20,0.273696,72,0.9940,j260_i121
2022-11-21,0.251072,72,0.9940,j260_i121
2022-11-22,0.245300,72,0.9941,j260_i121
2022-11-23,0.248859,72,0.9940,j260_i121
2022-11-24,0.255270,72,0.9941,j260_i121
2022-11-25,0.262088,72,0.9955,j260_i121
2022-11-26,0.291499,72,0.9964,j260_i121
2022-11-27,0.319632,72,0.9955,j260_i121
2022-11-28,0.353301,72,0.9955,j260_i121
2022-11-29,0.383961,72,0.9954,j260_i121
2022-11-30,0.387812,72,0.9953,j260_i121
2022-12-01,0.417405,72,0.9953,j260_i121
2022-12-02,0.410838,72,0.9949,j260_i121
2022-12-03,0.405122,72,0.9948,j260_i121
2022-12-04,0.400349,72,0.9948,j260_i121
2022-12-05,0.397455,72,0.9948,j260_i121
2022-12-06,0.401904,72,0.9948,j260_i121
2022-12-07,0.408432,72,0.9948,j260_i121
2022-12-08,0.412290,72,0.9951,j260_i121
2022-12-09,0.411628,72,0.9952,j260_i121
2022-12-10,0.408802,72,0.9954,j260_i121
2022-12-11,0.425818,72,0.9943,j260_i121
2022-12-12,0.474317,71,0.9883,j260_i121
2022-12-13,0.511423,71,0.9883,j260_i121
2022-12-14,0.528384,71,0.9883,j260_i121
2022-12-15,0.534177,71,0.9877,j260_i121
2022-12-16,0.534244,71,0.9878,j260_i121
2022-12-17,0.528567,71,0.9878,j260_i121
2022-12-18,0.519091,71,0.9877,j260_i121
2022-12-19,0.508864,71,0.9877,j260_i121
2022-12-20,0.499816,71,0.9870,j260_i121
2022-12-21,0.501925,71,0.9870,j260_i121
2022-12-22,0.513851,71,0.9867,j260_i121
2022-12-23,0.519640,71,0.9865,j260_i121
2022-12-24,0.516942,71,0.9867,j260_i121
2022-12-25,0.514164,71,0.9836,j260_i121
2022-12-26,0.509838,72,0.9866,j260_i121
2022-12-27,0.521811,72,0.9826,j260_i121
2022-12-28,0.544428,72,0.9826,j260_i121
2022-12-29,0.568484,72,0.9836,j260_i121
2022-12-30,0.582812,72,0.9834,j260_i121
2022-12-31,0.596790,72,0.9835,j260_i121
2023-01-01,0.631324,72,0.9837,j260_i121
2023-01-02,0.642321,72,0.9867,j260_i121
2023-01-03,0.648045,72,0.9869,j260_i121
2023-01-04,0.649980,72,0.9869,j260_i121
2023-01-05,0.645394,72,0.9893,j260_i121
2023-01-06,0.635477,72,0.9893,j260_i121
2023-01-07,0.628401,72,0.9895,j260_i121
2023-01-08,0.623991,72,0.9912,j260_i121
2023-01-09,0.621674,72,0.9929,j260_i121
2023-01-10,0.622460,72,0.9940,j260_i121
2023-01-11,0.624183,72,0.9941,j260_i121
2023-01-12,0.618694,72,0.9971,j260_i121
2023-01-13,0.612721,72,0.9955,j260_i121
2023-01-14,0.615605,72,0.9935,j260_i121
2023-01-15,0.625100,72,0.9925,j260_i121
2023-01-16,0.641920,72,0.9925,j260_i121
2023-01-17,0.684736,72,0.9880,j260_i121
2023-01-18,0.725448,72,0.9880,j260_i121
2023-01-19,0.739970,72,0.9880,j260_i121
2023-01-20,0.751570,72,0.9872,j260_i121
2023-01-21,0.763009,72,0.9838,j260_i121
2023-01-22,0.767413,72,0.9838,j260_i121
2023-01-23,0.770425,72,0.9838,j260_i121
2023-01-24,0.772998,72,0.9840,j260_i121
2023-01-25,0.774306,72,0.9852,j260_i121
2023-01-26,0.769634,72,0.9866,j260_i121
2023-01-27,0.758371,72,0.9870,j260_i121
2023-01-28,0.749017,72,0.9880,j260_i121
2023-01-29,0.738746,72,0.9897,j260_i121
2023-01-30,0.731743,72,0.9905,j260_i121
2023-01-31,0.727474,72,0.9905,j260_i121
2023-02-01,0.723617,72,0.9945,j260_i121
2023-02-02,0.710815,72,0.9960,j260_i121
2023-02-03,0.682495,72,0.9968,j260_i121
2023-02-04,0.658600,72,0.9970,j260_i121
2023-02-05,0.638769,72,0.9973,j260_i121
2023-02-06,0.629596,72,0.9975,j260_i121
2023-02-07,0.628062,72,0.9976,j260_i121
2023-02-08,0.634260,72,0.9977,j260_i121
2023-02-09,0.639263,72,0.9974,j260_i121
2023-02-10,0.635155,72,0.9974,j260_i121
2023-02-11,0.622979,72,0.9972,j260_i121
2023-02-12,0.609874,72,0.9971,j260_i121
2023-02-13,0.618798,71,0.9923,j260_i121
2023-02-14,0.661831,71,0.9908,j260_i121
2023-02-15,0.752634,71,0.9898,j260_i121
2023-02-16,0.783500,71,0.9898,j260_i121
2023-02-17,0.767791,71,0.9898,j260_i121
2023-02-18,0.726502,71,0.9898,j260_i121
2023-02-19,0.689912,71,0.9897,j260_i121
2023-02-20,0.654295,71,0.9894,j260_i121
2023-02-21,0.648142,71,0.9894,j260_i121
2023-02-22,0.661255,71,0.9883,j260_i121
2023-02-23,0.661791,71,0.9883,j260_i121
2023-02-24,,0,,j260_i121
2023-02-25,0.617532,71,0.9889,j260_i121
2023-02-26,0.592737,71,0.9892,j260_i121
2023-02-27,0.578732,71,0.9910,j260_i121
2023-02-28,0.574434,72,0.9933,j260_i121
2023-03-01,0.573249,72,0.9935,j260_i121
2023-03-02,0.571456,72,0.9946,j260_i121
2023-03-03,,0,,j260_i121
2023-03-04,0.556285,72,0.9948,j260_i121
2023-03-05,0.547503,72,0.9961,j260_i121
2023-03-06,0.536491,72,0.9976,j260_i121
2023-03-07,,0,,j260_i121
2023-03-08,0.519386,72,0.9976,j260_i121
2023-03-09,0.516695,72,0.9976,j260_i121
2023-03-10,0.515477,72,0.9976,j260_i121
2023-03-11,0.509880,72,0.9977,j260_i121
2023-03-12,0.504340,72,0.9977,j260_i121
2023-03-13,0.497454,72,0.9978,j260_i121
2023-03-14,0.493640,72,0.9978,j260_i121
2023-03-15,0.501593,72,0.9978,j260_i121
2023-03-16,0.524944,72,0.9977,j260_i121
2023-03-17,0.535352,72,0.9978,j260_i121
2023-03-18,0.527586,72,0.9978,j260_i121
2023-03-19,0.517980,72,0.9977,j260_i121
2023-03-20,0.510953,72,0.9977,j260_i121
2023-03-21,0.509614,72,0.9976,j260_i121
2023-03-22,0.508426,72,0.9976,j260_i121
2023-03-23,0.504544,72,0.9977,j260_i121
2023-03-24,0.507037,72,0.9976,j260_i121
2023-03-25,0.515187,72,0.9976,j260_i121
2023-03-26,0.519725,72,0.9975,j260_i121
2023-03-27,0.521260,72,0.9975,j260_i121
2023-03-28,0.506152,72,0.9975,j260_i121
2023-03-29,0.487740,72,0.9975,j260_i121
2023-03-30,0.472823,72,0.9975,j260_i121
2023-03-31,0.462635,72,0.9975,j260_i121
2023-04-01,0.449755,72,0.9975,j260_i121
2023-04-02,,0,,j260_i121
2023-04-03,,0,,j260_i121
2023-04-04,0.456552,72,0.9976,j260_i121
2023-04-05,,0,,j260_i121
2023-04-06,0.441731,72,0.9977,j260_i121
2023-04-07,0.424115,72,0.9977,j260_i121
2023-04-08,0.409275,72,0.9978,j260_i121
2023-04-09,0.394489,72,0.9978,j260_i121
2023-04-10,0.381070,72,0.9978,j260_i121
2023-04-11,0.361671,72,0.9978,j260_i121
2023-04-12,0.348802,72,0.9978,j260_i121
2023-04-13,0.348142,72,0.9977,j260_i121
2023-04-14,0.349238,72,0.9977,j260_i121
2023-04-15,0.338458,72,0.9977,j260_i121
2023-04-16,,0,,j260_i121
2023-04-17,0.292843,72,0.9977,j260_i121
2023-04-18,0.288839,72,0.9976,j260_i121
2023-04-19,0.287126,72,0.9976,j260_i121
2023-04-20,0.284633,72,0.9977,j260_i121
2023-04-21,0.283187,72,0.9977,j260_i121
2023-04-22,0.281216,72,0.9977,j260_i121
2023-04-23,0.275094,72,0.9977,j260_i121
2023-04-24,0.275476,72,0.9977,j260_i121
2023-04-25,0.279408,72,0.9977,j260_i121
2023-04-26,0.274971,72,0.9977,j260_i121
2023-04-27,0.265311,72,0.9978,j260_i121
2023-04-28,0.245857,72,0.9978,j260_i121
2023-04-29,0.227997,72,0.9979,j260_i121
2023-04-30,0.207886,72,0.9979,j260_i121
2023-05-01,0.195915,72,0.9979,j260_i121
2023-05-02,0.188075,72,0.9979,j260_i121
2023-05-03,0.178831,72,0.9979,j260_i121
2023-05-04,0.170305,72,0.9978,j260_i121
2023-05-05,0.159295,72,0.9978,j260_i121
2023-05-06,0.154898,72,0.9977,j260_i121
2023-05-07,,0,,j260_i121
2023-05-08,0.145889,72,0.9953,j260_i121
2023-05-09,,0,,j260_i121
2023-05-10,,0,,j260_i121
2023-05-11,0.157378,69,0.9648,j260_i121
2023-05-12,0.153067,69,0.9645,j260_i121
2023-05-13,0.146986,69,0.9641,j260_i121
2023-05-14,0.139449,69,0.9640,j260_i121
2023-05-15,0.133577,69,0.9640,j260_i121
2023-05-16,0.128392,69,0.9639,j260_i121
2023-05-17,0.122955,69,0.9639,j260_i121
2023-05-18,0.117747,69,0.9639,j260_i121
2023-05-19,0.113516,69,0.9639,j260_i121
2023-05-20,0.109571,69,0.9683,j260_i121
2023-05-21,0.099311,72,0.9905,j260_i121
2023-05-22,0.089991,72,0.9948,j260_i121
2023-05-23,0.085693,72,0.9959,j260_i121
2023-05-24,,0,,j260_i121
2023-05-25,0.077066,72,0.9976,j260_i121
2023-05-26,0.074911,72,0.9975,j260_i121
2023-05-27,0.069671,72,0.9977,j260_i121
2023-05-28,0.066861,72,0.9977,j260_i121
2023-05-29,0.064169,72,0.9977,j260_i121
2023-05-30,0.071421,72,0.9975,j260_i121
2023-05-31,0.081905,72,0.9972,j260_i121
2023-06-01,0.062572,72,0.9961,j260_i121
2023-06-02,0.061797,72,0.9961,j260_i121
2023-06-03,0.059848,72,0.9959,j260_i121
2023-06-04,0.058246,72,0.9959,j260_i121
2023-06-05,0.055978,72,0.9959,j260_i121
2023-06-06,0.055291,72,0.9959,j260_i121
2023-06-07,0.057265,72,0.9943,j260_i121
2023-06-08,0.057463,72,0.9940,j260_i121
2023-06-09,0.054759,72,0.9941,j260_i121
2023-06-10,0.046556,72,0.9941,j260_i121
2023-06-11,0.043160,72,0.9943,j260_i121
2023-06-12,0.042186,72,0.9944,j260_i121
2023-06-13,0.039752,72,0.9944,j260_i121
2023-06-14,0.038087,72,0.9954,j260_i121
2023-06-15,0.036121,72,0.9955,j260_i121
2023-06-16,0.034374,72,0.9956,j260_i121
2023-06-17,0.030970,72,0.9956,j260_i121
2023-06-18,,0,,j260_i121
2023-06-19,0.023922,72,0.9980,j260_i121
2023-06-20,0.020213,72,0.9979,j260_i121
2023-06-21,0.018778,72,0.9980,j260_i121
2023-06-22,0.016118,72,0.9980,j260_i121
2023-06-23,0.014410,72,0.9979,j260_i121
2023-06-24,0.013590,72,0.9979,j260_i121
2023-06-25,0.011957,72,0.9979,j260_i121
2023-06-26,0.010788,72,0.9979,j260_i121
2023-06-27,0.008483,72,0.9979,j260_i121
2023-06-28,0.008211,72,0.9979,j260_i121
2023-06-29,0.009435,72,0.9965,j260_i121
2023-06-30,0.008882,66,0.9354,j260_i121
