# METADATA {"description": "Exploratory: per-cell subgrid terrain heterogeneity from the checked-in 3DEP DEM fixture vs. pooled WY2010-2023 climatology bias/MAE/NMB/NMAE, read from existing final aggregates only.", "error_sign": "MERRA_MINUS_MODSCAG", "low_snow_mask_threshold": 0.05, "source_dem": "tests/fixtures/domain_dem_3dep.tif", "source_pixel_stats": "results/water_year_2010_2023_pixel_stats.csv"}
cell_id,lon_center,lat_center,elevation_mean_m,elevation_std_m,elevation_range_m,bias_pp,mae_pp,nmb_pct,nmae_pct,composite_fsca,excluded_low_snow
0,-108.75,37.0,2179.053255852087,213.91558137148732,1270.2113037109375,0.1694112235478568,2.7029651470728044,5.672829495650536,90.51029849683165,0.029863619852799655,True
1,-108.75,37.5,2046.1274621582031,212.90212595078557,1089.3453369140625,-6.3053676237305885,7.431382372807353,-49.542616290350246,58.389953984164116,0.12727159152793324,False
2,-108.75,38.0,1930.4271905244286,225.0452070244115,1071.7867431640625,-4.3462188987057315,7.218528611805444,-36.449413533361074,60.53793897781996,0.11923974839067755,False
3,-108.75,38.5,2091.4832862603485,357.6416705455327,1350.4571533203125,-7.154807569891887,8.965801282276592,-50.683767764988566,63.51262218849725,0.14116566082986237,False
4,-108.75,39.0,1922.6854531397964,427.90303548216764,1597.149169921875,-8.157051653432436,8.807312711138715,-59.83314917281736,64.60290772284957,0.1363299737052491,False
5,-108.75,39.5,2095.9726117398845,372.0566681607843,1590.0733642578125,-12.213511277807413,12.418665667051275,-68.6295831888481,69.78237700079247,0.1779627780078378,False
6,-108.75,40.0,2065.687522646776,231.4469268819895,1203.5618896484375,-11.582456334528795,11.987663939070856,-67.87835036072464,70.25304731234971,0.17063550120143411,False
7,-108.75,40.5,2031.2410433867483,239.37387469802894,1466.11962890625,-13.818930974934847,14.061698128084803,-75.56022353261456,76.88764461834535,0.18288631675328612,False
8,-108.75,41.0,1691.978936931553,208.34914139485352,1213.4912109375,-11.656785084234274,12.11046482535387,-67.34870243850713,69.9699004503301,0.17308106410628366,False
9,-108.125,37.0,2024.6645693650887,98.6131457330374,589.9691162109375,-3.184182699645521,4.854829605967639,-42.55826452666377,64.88733282347486,0.07481937374703225,False
10,-108.125,37.5,1969.3545223536637,133.0198057847679,789.1175537109375,-11.006323402341662,11.868500304758532,-37.210415658316165,40.12528193447026,0.2957860912763509,False
11,-108.125,38.0,2107.6235662932895,216.3698771268634,1279.262451171875,-11.832333106990136,13.481135910890618,-38.73077969052091,44.12780642849001,0.30550206325657875,False
12,-108.125,38.5,2192.936391328271,373.8110706082382,1808.9677734375,-7.642895788909178,9.314251703401961,-54.19718242528933,66.0490752022128,0.14102016833522463,False
13,-108.125,39.0,2107.0442463452887,543.4685619321413,1925.5390625,-7.831344929159256,11.694220956815531,-44.13371567285474,65.90303803398474,0.17744585539114416,False
14,-108.125,39.5,2101.3018668741256,391.27126582677846,1563.5869140625,-8.634113573697448,10.19053289528276,-48.93701747093017,57.75859699758172,0.17643317921502533,False
15,-108.125,40.0,2727.9256719879604,413.7409057082666,2278.3140869140625,-8.957745847130546,9.988052253523785,-49.07086196019389,54.71491843462729,0.18254714690760962,False
16,-108.125,40.5,2715.9681837232183,392.1123381558243,1905.6646728515625,-13.150692804326162,13.97792180258809,-62.10997262668924,66.01692803980251,0.21173238770153935,False
17,-108.125,41.0,1948.537786118237,175.4322571669762,933.38623046875,-11.341866417023855,12.59737450167297,-57.34715915807487,63.69530498410511,0.19777555825843982,False
18,-107.5,37.0,2208.9013167925023,247.51515751309663,1375.236328125,-5.407058757699916,7.197750756676021,-47.09516276067859,62.691984420130744,0.11481134028937809,False
19,-107.5,37.5,2109.7090834369083,160.6723963392337,934.830322265625,-12.345747398603777,13.468707462217562,-35.211164543844255,38.413946060380276,0.350620252369986,False
20,-107.5,38.0,2736.7520683994576,366.7690280411194,1638.1866455078125,-13.94472645970358,18.688741150775325,-33.835724231252264,45.34668310878661,0.41213027876682995,False
21,-107.5,38.5,2400.3318047093635,443.91469099398097,1808.96630859375,-15.914123773307471,16.84905267580382,-58.53580872184007,61.97469233143211,0.2718698882069056,False
22,-107.5,39.0,2592.4486155007103,431.31469757842115,2094.3768310546875,-15.775797790825667,18.41681910036388,-50.7109503662952,59.200454499151526,0.31109252886948413,False
23,-107.5,39.5,2577.334211061392,386.38791222169414,2184.5714111328125,-9.521104089617268,12.38447464711542,-37.68342639458353,49.016315167595224,0.2526602541372351,False
24,-107.5,40.0,3289.5284908465487,454.3964006233291,2124.3154296875,-17.424711200624635,19.868682813359975,-44.07908257853364,50.26156820466505,0.3953056683877176,False
25,-107.5,40.5,2988.874147764264,487.003024602271,2116.66650390625,-4.320815702724707,8.63195629341838,-18.754356478779638,37.46671845640808,0.2303899740635551,False
26,-107.5,41.0,2060.5219781767432,152.93242727388542,975.9708251953125,-7.556299270883672,10.068263922857328,-29.614899232198155,39.45987458007686,0.25515194941700997,False
27,-106.875,37.0,2683.0948186800374,276.0661871567384,1507.615234375,-12.900154085324806,13.594420404830451,-54.093852506238264,57.00509989436911,0.23847726659581367,False
28,-106.875,37.5,2511.657280735825,362.2950488424894,1636.896484375,-15.643778098262159,17.27538222802096,-42.33033499971519,46.745275493359834,0.36956424035782887,False
29,-106.875,38.0,2713.492629740701,343.9003624529203,1752.5738525390625,-11.000173024561713,13.49296025788496,-36.06803947101779,44.2415425717051,0.3049839466156962,False
30,-106.875,38.5,2640.6213981787837,411.0192152059984,1999.27294921875,-13.977928473933053,15.275357909945713,-46.925145785840115,51.280731489778375,0.2978771453950594,False
31,-106.875,39.0,3241.962421024207,342.50744231792305,1856.82958984375,-14.570517502954234,20.31609183769639,-29.84252630689032,41.61029318256731,0.4882467842405841,False
32,-106.875,39.5,2780.092730148088,299.82344218524264,1566.262939453125,-7.754937999569944,13.42482447920243,-26.227627801727678,45.40349642557683,0.29567820842185,False
33,-106.875,40.0,3210.846779493645,300.4691138698922,1597.930419921875,-10.388061116445368,14.97715841125577,-30.692454786675484,44.25135279986122,0.3384565095443306,False
34,-106.875,40.5,3059.991045439749,409.1723911270749,1784.558349609375,-10.693529333408815,14.42166364280598,-31.260568781214157,42.15908463793957,0.3420772478021905,False
35,-106.875,41.0,2459.1112456455517,345.64219386158834,1864.798583984375,-13.253892131479015,17.619384703810177,-35.970650866399346,47.81846188081272,0.3684640620128352,False
36,-106.25,37.0,2606.154040709538,198.80836526686755,1069.662109375,-15.13829490616253,15.70872513380241,-51.880260921515,53.83517521212173,0.2917929601214593,False
37,-106.25,37.5,2731.3202324514677,253.90061019029258,1355.03076171875,-7.866363903878504,9.967416674431437,-38.975084088122394,49.38506631199433,0.20183058197110518,False
38,-106.25,38.0,2712.6871008118587,317.05456714812624,1896.958251953125,-7.160481460391206,9.079066843477982,-44.24504038725386,56.100093463032856,0.1618369290143987,False
39,-106.25,38.5,3260.4835250991136,329.60418244201776,1998.20849609375,-15.68992046355684,16.026668581335436,-48.671833316926204,49.716462465708574,0.3223614027725659,False
40,-106.25,39.0,3206.891365929806,400.83419609528386,1921.787109375,-8.46509477475241,12.380233544850574,-23.33378139606075,34.12574470274266,0.36278280965559667,False
41,-106.25,39.5,3017.992445778918,419.1542462084623,2055.31591796875,-14.97994422347523,18.348960515557422,-31.557478356535906,38.65481177341133,0.4746876177567817,False
42,-106.25,40.0,2632.3975818782064,296.3275475790254,1394.84375,-7.755153186626024,11.834636981261898,-24.419906723342766,37.26563798706493,0.3175750536021886,False
43,-106.25,40.5,2637.07370945786,384.57760686068366,1595.76220703125,-4.978645639682129,10.87390942153485,-14.88362050122788,32.50746345650426,0.3345050110133752,False
44,-106.25,41.0,2817.780513314774,301.83788000143477,1406.721435546875,-3.0254231334080885,8.965037152640084,-10.35074430137021,30.67167901064132,0.292290394325323,False
45,-105.625,37.0,2433.9372264531835,256.0053195015809,1462.05224609375,-8.647144846836339,9.715562575248429,-57.521375438376786,64.62856033808322,0.1503292433627584,False
46,-105.625,37.5,2852.8085904947916,445.0227665882935,2251.600830078125,-6.3896224344241555,7.66181986395853,-52.07656648480702,62.44520323930692,0.12269669192357918,False
47,-105.625,38.0,2859.6333255597015,427.92747491665733,2285.8905029296875,-13.587237858484741,13.86376324971073,-72.15876498755308,73.62732915978526,0.18829643025110604,False
48,-105.625,38.5,3046.663670016616,426.4158789318082,2204.471923828125,-8.754992042496708,9.600760408599056,-61.75699390056481,67.72297440324702,0.1417651911068268,False
49,-105.625,39.0,2797.8499570904355,180.27024374887912,1551.22509765625,-11.20737941454767,12.886027298373007,-57.97014780647462,66.65295065814448,0.19333018525262294,False
50,-105.625,39.5,2547.8447163596084,358.9696048702115,2109.3128662109375,-10.851381832328165,12.694276280894417,-34.48440810737492,40.34090871210383,0.3146750206220725,False
51,-105.625,40.0,2674.2599618484724,440.68550459383243,1847.7939453125,-16.657670204098043,17.124622667019768,-47.00499492995333,48.322652074273854,0.3543808531182961,False
52,-105.625,40.5,2486.6320682779947,327.3035490530357,1863.626708984375,-12.802442137754666,14.502451349572816,-39.31827987410618,44.53927109278219,0.32561043307965165,False
53,-105.625,41.0,2526.631425890567,317.5306236516838,1671.014892578125,-5.3003463658385535,9.64184856436903,-23.788038231795124,43.27276869161793,0.22281561489816773,False
54,-105.0,37.0,1923.016982986678,194.73970506670645,840.157958984375,-10.190793276280706,10.548360485852719,-64.14165772688452,66.3922139837862,0.15887948078412867,False
55,-105.0,37.5,1606.618862730084,178.18595046605435,1102.1907958984375,-11.591785830463479,11.889477233225593,-67.41342280897454,69.1446829180303,0.1719507087380868,False
56,-105.0,38.0,1617.5911159412897,148.60668140791552,1144.4100341796875,-8.418544978424247,8.945124445412262,-68.52466054113188,72.81087381382474,0.12285423834199108,False
57,-105.0,38.5,1959.3308200574277,263.3859714287432,1484.2041015625,-1.775812803797747,3.2546111846443844,-38.69645196194234,70.920710275347,0.04589084305569527,True
58,-105.0,39.0,2473.6729283373284,399.33179396958303,2435.9921875,-10.65101014065771,11.145481112588458,-72.73661781192493,76.1134004484493,0.14643257359309758,False
59,-105.0,39.5,1976.4976170781833,435.5462766967668,1927.855712890625,-6.781203559740772,8.094700092475067,-60.51746020926014,72.2394905913989,0.11205367073060245,False
60,-105.0,40.0,2238.872126756355,516.0968294361365,2187.803955078125,-3.8016900122593027,6.5119897894124055,-45.452510562112074,77.85650164247137,0.08364092467596902,False
61,-105.0,40.5,2464.9822718764794,448.91696020572,2166.7689208984375,-2.847929502142786,5.852379958027564,-38.97797733907648,80.09816718146658,0.07306509204846962,False
62,-105.0,41.0,2644.5486929549033,417.3346286341699,2159.9798583984375,-0.9336943702113498,4.650016040243843,-13.983157773503534,69.63939166232043,0.06677278375422414,False
63,-104.375,37.0,1645.788311804017,79.65068581983968,340.9066162109375,-4.352760884697018,5.1167892614586235,-64.07913448415626,75.32677211027556,0.06792789758690093,False
64,-104.375,37.5,1458.962325365471,56.63757110768435,286.5531005859375,-2.0915325698073204,3.729745435016317,-48.962119987985844,87.31216819192764,0.04271736130544457,True
65,-104.375,38.0,1521.2453288428462,71.55840201991703,345.1978759765625,-1.5591550691982354,2.9455871670289215,-47.34976378838661,89.45412764404729,0.032928465623742915,True
66,-104.375,38.5,1806.7456584873485,129.70434059649497,592.3863525390625,0.7629232490082214,1.7367881391923983,74.98007438828085,170.69148704357625,0.010175013231614821,True
67,-104.375,39.0,1979.6701464658795,125.23373968725909,586.8792724609375,-3.476961315693224,4.778189550980828,-55.213116267228095,75.87623538818683,0.06297346628407904,False
68,-104.375,39.5,1593.903119898554,114.99344487303989,529.20068359375,-6.556983937417441,7.944849944934986,-67.54525427156193,81.84203511887819,0.09707542014803072,False
69,-104.375,40.0,1542.7446483646222,141.44431829505606,582.1806640625,-5.426695581239822,7.085310392877732,-64.49246525742662,84.20393727822724,0.08414464479809773,False
70,-104.375,40.5,1782.698211337003,124.05193523401633,781.4853515625,-2.5390655449806134,4.929695063983924,-45.956963178535595,89.22724148842234,0.05524876687601707,False
71,-104.375,41.0,2090.5325849026353,261.1894572497672,1282.58251953125,-1.6435966647011457,4.670592324947111,-29.906165778828473,84.98405439426348,0.05495845495060754,False
